1	3,275.88
3	663,17,161.76
4	2,30.06
5	4,253.46
6	12,608.94
7	25658,299,424.40
8	5,122.77
9	311,6,933.18
10	852,22,081.51
11	430,10,432.17
13	16,317.17
14	2143,59,889.05
15	152,4,444.01
16	383,9,903.58
17	4351,70,984.35
18	1275,28,588.85
19	304,7,966.32
20	644,14,450.78
21	927,24,070.07
22	1105,30,441.19
23	16,913.77
24	1828,22,030.64
25	12234,192,734.88
26	1989,45,015.13
27	1,30.45
28	846,19,689.77
29	939,25,039.11
30	3,190.04
31	160,3,433.53
32	1070,28,843.28
33	14759,246,971.48
34	152,2,696.81
35	2627,60,967.28
36	1573,32,759.35
37	1851,39,264.85
38	409,16,326.74
39	2489,66,816.73
40	3091,46,310.40
41	33140,389,872.89
42	20302,263,502.29
43	7120,94,344.80
44	3,217.96
45	3,38.72
46	66,3,197.80
47	1005,22,702.21
48	42,552.19
49	5724,91,648.70
50	3,24.46
51	2031,61,405.14
52	5642,77,067.56
53	154,4,383.36
54	190,4,210.11
55	1988,70,595.06
56	1346,27,335.14
57	32,501.53
58	49,1,080.55
59	55,1,415.44
60	632,12,403.30
61	6859,123,340.63
62	1830,34,509.49
63	571,14,964.91
64	104,3,229.26
65	14459,231,278.56
66	10089,183,351.04
67	475,11,448.68
68	15,186.21
69	2471,48,040.68
70	593,11,714.20
71	1793,40,143.59
72	2125,48,544.50
73	140,3,636.72
74	42553,549,325.21
75	39797,516,826.25
76	4243,111,608.58
77	1060,25,909.72
78	1218,28,798.33
79	18,215.58
80	2847,54,313.14
81	902,25,008.47
82	24422,306,136.25
83	3004,38,834.22
84	7,550.27
85	1160,25,699.46
86	294,17,063.49
87	14,301.77
88	8,263.97
89	3118,70,278.08
90	12,159.50
91	2212,50,903.36
92	4179,78,850.14
93	190,4,505.19
94	486,10,076.50
95	16933,239,138.83
96	28,715.82
97	17186,256,723.41
98	209,6,066.82
100	62,872.60
101	199,7,492.89
102	424,10,720.40
106	1386,25,377.83
107	9,122.62
108	822,23,272.51
109	2,114.73
111	14,157.09
112	3982,62,671.98
113	6,91.72
114	7,100.04
115	45,2,659.21
116	8456,120,011.25
117	269,13,957.85
118	12,942.91
119	1016,23,381.65
120	47,831.55
121	1035,22,451.09
122	526,15,038.82
123	1342,29,161.21
124	332,9,409.93
125	2,18.72
126	628,13,342.85
127	1765,32,526.87
128	88,1,924.34
129	15727,198,078.50
130	9740,173,350.15
131	683,16,894.21
132	41,1,756.29
133	765,16,324.00
134	5230,78,539.83
135	670,14,761.27
136	1237,30,393.25
137	10,157.73
138	55,1,852.69
139	393,13,274.36
140	16,313.28
141	9,78.69
142	35,471.81
143	3,21.89
144	1,7.80
145	6553,108,335.64
146	3193,41,900.28
147	618,14,997.45
148	5,69.65
149	1019,22,419.87
150	570,17,503.31
151	1,14.69
152	4119,54,394.00
153	210,2,729.29
154	29,585.99
155	1433,35,450.00
156	37,2,474.26
157	376,8,122.80
158	3,34.99
159	2092,34,845.03
160	352,7,358.94
161	29,442.98
162	37,485.49
163	26,282.61
164	24,340.55
165	1671,36,837.10
166	21972,289,973.92
167	1172,24,893.64
168	2025,36,443.42
169	1165,24,933.80
170	31,726.58
171	351,10,762.14
172	6,358.53
173	1451,20,895.86
174	1795,39,811.25
175	246,7,218.81
176	2,84.61
177	1490,32,897.32
178	434,9,620.49
179	4348,59,357.65
180	216,6,019.69
181	13734,205,201.14
182	1707,33,781.55
183	458,12,677.47
184	65,1,207.43
185	1085,21,617.80
186	25,374.74
187	4,263.74
188	3676,73,128.53
189	1671,26,961.34
190	383,6,706.52
191	1027,31,592.75
192	436,10,051.36
193	1832,26,652.77
194	25,466.02
195	777,20,838.77
196	4729,72,622.51
197	1596,51,609.67
198	508,12,025.43
200	642,19,538.04
201	50,2,972.38
202	74,2,781.23
203	352,12,382.95
204	3,179.44
205	1431,44,063.81
206	36,2,370.45
207	8,161.06
208	636,15,103.58
210	3180,61,905.41
211	6,70.60
212	1393,23,513.76
213	2041,47,607.59
214	12,782.87
215	1059,28,657.12
216	1086,29,907.94
217	660,12,004.88
218	841,24,055.84
219	297,11,907.37
220	1371,31,026.28
221	31,2,110.17
222	1075,31,957.59
223	10164,129,617.57
224	1,9.36
225	3375,67,559.45
226	4907,83,836.23
227	727,20,282.90
228	1220,31,607.77
229	14,157.62
230	52,811.43
231	23,435.32
232	3,108.71
233	4,41.39
234	21,295.80
235	1539,37,971.59
236	1372,17,646.99
237	11,138.46
238	12,119.92
239	37,459.94
240	107,2,595.82
241	737,16,744.48
242	2721,53,058.70
243	3171,61,352.72
244	15386,287,234.17
245	3,131.98
246	3,26.86
247	2235,35,808.59
248	713,14,621.44
249	11,101.56
250	1100,23,590.53
251	25,1,391.01
252	197,5,886.72
253	18,810.68
254	1603,43,024.41
255	10200,153,846.50
256	3300,53,756.96
257	631,13,364.32
258	543,14,791.62
259	732,21,572.80
260	11988,151,328.03
261	8,185.72
262	14,317.64
263	397,5,493.81
264	402,5,576.63
265	142,5,712.36
